#Dateiname_orig;Referenz;EventStart;EvtDuration;EventName;EventDesc;EPGExtEvt
Abgetaucht1_0612060834.vid;Medion-1/[2006-12-06] Abgetaucht! Mit dem Mini-U-Boot durch die Nordsee_epg.txt;2006-12-06 08:35;00:15;Abgetaucht! Mit dem Mini-U-Boot durch die Nordsee;(3/3);Meeresbiologe Dr. Norman und Tauchkugelpilotin Kassandra müssen dringend zurück zum Deich, doch das GPS ist ausgefallen.
ABGETAUCHT2_0612060848.vid;Medion-1/[2006-12-06] Abgetaucht! Mit dem Mini-U-Boot durch die Nordsee_epg.txt;2006-12-06 08:35;00:15;Abgetaucht! Mit dem Mini-U-Boot durch die Nordsee;(3/3);Meeresbiologe Dr. Norman und Tauchkugelpilotin Kassandra müssen dringend zurück zum Deich, doch das GPS ist ausgefallen.
EISBAERAFFE4_0705091043.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
EISBAERAFFE5_0705091052.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
EISBAERAFFE6_0705091103.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
EISBAERAFFE7_0705091116.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
EISBAERAFFE8_0705091121.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
EISBAERAFFE9_0705091131.vid;Medion-1/[2007-05-09] Eisb�r, Affe & Co.-2-1_epg.txt;2007-05-09 10:45;00:50;Eisbär, Affe & Co.;(Folge 13) Zoogeschichten aus Stuttgart;Drei junge Seelöwen ziehen aus der Wilhelma um in einen spanischen Zoo.Eine Routinesache, da diese Tiere immer in andere Zoos vermittelt werden, sobald sie selbstständig fressen können.Außerdem geht es in dieser Folge um eine magersüchtige Schildkröte - ein Fall für Wilhelma-Tierarzt Wolfram Rietschel
JURASSICZOO1_0612180348.vid;Medion-1/[2006-12-18] Wunderbare Welt-1_epg.txt:2;2006-12-18 04:10;00:45;Wunderbare Welt;Jurassic Zoo;Jacinth O'Donnell führt in diesem Beitrag zurück in die Zeit der ersten komplexen Wirbeltiere, als die beiden Stammlinien der Knochen- und Knorpelfische sich trennten. Während die Knochenfische zunächst schwere Panzerungen entwickelten, spezialisierten die Knorpelfische sich zu den Urhaien, die für damalige Zeiten besonders wendig und flink waren.Diese Taktik erwies sich als sehr erfolgreich, und sie blieben über die gesamte Stammesgeschichte die Top-Räuber unter Wasser.(Erstsendung: 27.04.2002)Großbritannien, 2000
JURASSICZOO2_0612180439.vid;Medion-1/[2006-12-18] Wunderbare Welt-1_epg.txt:2;2006-12-18 04:10;00:45;Wunderbare Welt;Jurassic Zoo;Jacinth O'Donnell führt in diesem Beitrag zurück in die Zeit der ersten komplexen Wirbeltiere, als die beiden Stammlinien der Knochen- und Knorpelfische sich trennten. Während die Knochenfische zunächst schwere Panzerungen entwickelten, spezialisierten die Knorpelfische sich zu den Urhaien, die für damalige Zeiten besonders wendig und flink waren.Diese Taktik erwies sich als sehr erfolgreich, und sie blieben über die gesamte Stammesgeschichte die Top-Räuber unter Wasser.(Erstsendung: 27.04.2002)Großbritannien, 2000
